======================================================================
DEEP RE: PE_0529.bin
PATH   : /tmp/critical_modules/PE_0529.bin
  0x0007D630  u"Infiniband(0x%x,%g,0x%lx,0x%lx,0x%lx)"
  0x0007D690  u"1.5)"
  0x0007D6C0  u"DEFAULT,"
  0x0007D6D8  u"Uart(%ld,"
  0x0007D6F0  u"Uart(DEFAULT,"
  0x0007D718  u"reserved"
  0x0007D738  u"CHAP_BI"
  0x0007D748  u"CHAP_UNI"
  0x0007D768  u"None"
  0x0007D778  u"CRC32C"
  0x0007D788  u"iSCSI(%a,0x%x,0x%lx,"
  0x0007D7B8  u"0x%lx,0x%lx)"
  0x0007D7D8  u"HD(%d,%s,0x%08x,"
  0x0007D808  u"HD(%d,%s,%g,"
  0x0007D830  u"HD(%d,%d,0,"
  0x0007D848  u"CDROM(0x%x)"
  0x0007D880  u"BBS(%s,%a)"
  0x0007D898  u"Floppy"
  0x0007D8B0  u"PCMCIA"
  0x0007D8C0  u"BBS(0x%x,%a)"
  0x0007D8E0  u"Network"
  0x0007D8F8  u"Warning Buffer Too Small"
  0x0007D930  u"Warning Write Failure"
  0x0007D960  u"Warning Delete Failure"
  0x0007D990  u"Warning Unknown Glyph"
  0x0007D9C0  u"Protocol Error"
  0x0007D9E0  u"TFTP Error"
  0x0007D9F8  u"ICMP Error"
  0x0007DA10  u"Aborted"
  0x0007DA20  u"Already started"
  0x0007DA40  u"Not started"
  0x0007DA58  u"Time out"
  0x0007DA70  u"No mapping"
  0x0007DA88  u"No Response"
  0x0007DAA0  u"Access Denied"
  0x0007DAC0  u"Not Found"
  0x0007DAD8  u"Media changed"
  0x0007DAF8  u"No Media"
  0x0007DB10  u"Volume Full"
  0x0007DB28  u"Volume Corrupt"
  0x0007DB48  u"Out of Resources"
  0x0007DB70  u"Write Protected"
  0x0007DB90  u"Device Error"
  0x0007DBB0  u"Not Ready"
  0x0007DBC8  u"Buffer Too Small"
  0x0007DBF0  u"Bad Buffer Size"
  0x0007DC10  u"Unsupported"
  0x0007DC28  u"Invalid Parameter"
  0x0007DC50  u"Load Error"
  0x0007DC68  u"Success"
  0x0007DC80  u"%08x-%04x-%04x-%02x%02x-%02x%02x%02x%02x%02x%02x"
  0x0007DCE8  u"%02d/%02d/%02d  %02d:%02d%c"
  0x0007DD30  u"Press ENTER to continue, 'ESC' to quit:"
  0x0007DD80  u"(null)"
  0x000829E0  u"DDIAG_DDISABLE"
  0x00082E78  u"BIOS_CRASH_DUMP_TEMP"
  0x00082EA8  u"DBIOS_MFT_SMM_DATA"
  0x00083160  u"DDIAG_BHISTORY"
  0x00083480  u"Unknown"
  0x00083490  u"Operating System Loader"
  0x000834C0  u"diags_current.xml"
  0x000834E8  u"diags_previous.xml"
  0x00083530  u"ExcaliburLogCount"
  0x00083B78  u"ExcaliburLogAvailable"
  0x000D51E8  u"PsaCommandLine"
  0x000D5F58  u"DDIAG_EOR"
  0x000DA7C8  u"ePSAMemoryDefectLog"

── ASCII STRINGS (narrow) ───────────────────────────────────────────
  0x000768A0  "Pure call!"
  0x000768B8  "Unknown"
  0x000768C0  "(null)"
  0x000768D0  "Found a Touch Screen but BIOS did not provide AbsolutePointer protocol "
  0x00076918  "Starting PSA Main.\n"
  0x00076948  "4400.13"
  0x00076950  "Controller %d did not supply EDID data.\n"
  0x00076980  "ERROR: Could not SetPosition on file: %s, Status %I64X\n"
  0x000769C0  "ERROR: Could not re-open file: %s, efiMode %I64X, Status %I64X\n"
  0x00076A00  "%s is a directory, cannot be opened as a file\n"
  0x00076A30  "ERROR: Could not get info on file: %s, Status %I64X\n"
  0x00076A68  "ERROR: Could not open file: %s, efiMode %I64X, Status %I64X\n"
  0x00076AA8  "ERROR: Could not openVolume, Status %I64X\n"
  0x00076AD8  "ERROR: Could not open file system, Status %I64X\n"
  0x00076B10  "ERROR: fClose failed Status %i64X\n"
  0x00076B38  "ERROR: fWrite Status %i64X\n"
  0x00079BA9  "`ffffffffffffffff"
  0x00079F88  "Critical Error Message"
  0x00079FA0  "Warning Message"
  0x0007A090  "PEG Library Version 1.96e"
  0x0007BDA0  "Disabled"
  0x0007C2C8  "Close"
  0x0007C2D0  "Minimize"
  0x0007C2E0  "Maximize"
  0x0007C3D8  "000000000000000"
  0x0007C880  "Unable to set graphics mode 0x%X, status=0x%i64X.  PSA halted.\n"
  0x0007C8C8  "FrameBufferSize %X is too small, increasing to %X"
  0x0007C900  "Graphics protocol %p, Status %i64X, Current Mode 0x%X"
  0x0007C950  "Warning Stale Data"
  0x0007C968  "Unload Image"
  0x0007C978  "End Of Media"
  0x0007C988  "CRC Error"
  0x0007C998  "Security Violation"
  0x0007C9B0  "Incompatible Version"
  0x0007C9C8  "Warning Buffer Too Small"
  0x0007C9E8  "Warning Write Failure"
  0x0007CA00  "Warning Delete Failure"
  0x0007CA18  "Warning Unknown Glyph"
  0x0007CA30  "Protocol Error"
  0x0007CA40  "TFTP Error"
  0x0007CA50  "ICMP Error"
  0x0007CA60  "Aborted"
  0x0007CA68  "Already Started"
  0x0007CA78  "Not Started"
  0x0007CA88  "Time Out"
  0x0007CA98  "No Mapping"
  0x0007CAA8  "No Response"
  0x0007CAB8  "Access Denied"
  0x0007CAC8  "Not Found"
  0x0007CAD8  "Media Changed"
  0x0007CAE8  "No Media"
  0x0007CAF8  "Volume Full"
  0x0007CB08  "Volume Corrupted"
  0x0007CB20  "Out of Resources"
  0x0007CB38  "Write Protected"
  0x0007CB48  "Device Error"
  0x0007CB58  "Not Ready"
  0x0007CB68  "Buffer Too Small"
  0x0007CB80  "Bad Buffer Size"
  0x0007CB90  "Unsupported"
  0x0007CBA0  "Invalid Parameter"
  0x0007CBB8  "Load Error"
  0x0007CBC8  "Success"
  0x0007CBD0  "Unknown Error"
  0x0007CE18  "AA7BA38A-DABF-40C3-8D18-B55B39609EF7"
  0x0007CE54  "en-US"
  0x0007CE68  "USB(0xD,"
  0x0007DD90  "X9OC4WL"
  0x0007DDB0  "Reserved %d page(s) at address, %016I64X\n"
  0x0007DDE0  "Callback not installed. RC"
  0x0007DE00  "Address not allocated.  Address"
  0x0007DE20  "Address below 1Meg.  Address"
  0x0007DE40  "Memory repair disabled.  Flags"
  0x0007DE60  "Known. Data"
  0x0007DE70  "%s =  %016I64X. Code = %d\n"
  0x0007DE90  "Do you want to enable memory repair capability?"
  0x0007DEC0  "Do you want to disable memory repair capability?  Generally this action should not be taken unless directed by technical support."
  0x0007DF48  "Freed block containing address, %016I64X\n"
  0x0007DF78  "System ID:           %04X                 %04X\n\n"
  0x0007DFB0  "Service Tag:     %s          %s\n\n"
  0x0007DFD8  "0000000"
  0x0007DFE0  "Serial# %d:%s        %08X        %08X\n"
  0x0007E010  "                         Original            Current\n\n"
  0x0007E048  "passed\n"
  0x0007E050  "failed, code: %X\n"
  0x0007E068  "ePSA integration check "
  0x0007E080  "did not execute\n"
  0x0007E098  "ePSA has been loaded twice.\n\n"
  0x0007E0B8  "executed\n"
  0x0007E0C8  "Callback function "
  0x0007E0E0  "SMBIOS table notification event creation failed.\n"
  0x0007E120  "ePSA integration check cannot be performed when ePSA is loaded from the UEFI shell\n"
  0x0007E178  "ePSA integration check is not applicable. RMT is enabled.\n"
  0x0007E1B8  "CPU %d (ID 0x%X) failed to stop.\n"
  0x0007E1E0  "Requesting all APs to halt"
  0x0007E208  "Test %d%% complete"
  0x0007E220  "Protocol failed to start APs, status=0x%X\n"
  0x0007E250  "Starting all APs via EFI Protocol"
  0x0007E278  "%d CPUs are available"
  0x0007E290  "Starting APs"
  0x0007E2A0  "fPCIeBaseAddr: Tag %04X, BAR[%X], want %X, value %I64X"
  0x0007E2D8  "PCI baseAddr %I64X, *pRegData %p, status %d"
  0x0007E308  "\nRead VPD data Timeout!"
  0x0007E328  "020: IS: %.*s"
  0x0007E338  "0F: End Tag"
  0x0007E348  "  RV: Checksum = %2X"
  0x0007E360  "010: VPD-R Tag"
  0x0007E370  "  %.*s: %.*s"
  0x0007E380  "011: VPD-W Tag"
  0x0007E390  "Unknown Tag : %02X"
  0x0007E3E0  "accLength = %04X"
  0x0007E3F8  "fVpdInternal capOffset %X"
  0x0007E418  "SEAGATE"
  0x0007E428  "SK hynix"
  0x0007E434  "KIOXIA"
  0x0007E43C  "INTEL"
  0x0007E444  "HYNIX"
  0x0007E44C  "MICRON"
  0x0007E458  "SAMSUNG"
  0x0007E460  "LITEON"
  0x0007E468  "Cavium"
  0x0007E470  "Warning: SW SMI didn't update any registers!"
  0x0007E4A0  "DELLDIAGDELLDIAGDELLDIAGDELLDIAG"
  0x0007E4C8  "DELLCODEDELLCODEDELLCODEDELLCODE"
  0x0007E4EC  "Fan%d"
  0x0007E4F8  "DELLCODE"
  0x0007E508  "DELLDIAG"
  0x0007E520  "TEMPERATURESENSOR:  sensorIndex = %04X\ngTSensorName = %32S\nSwSmiBuffSig = %32S\n"
  0x0007E570  "RSD PTR "
  0x0007E580  "%s - %04X"
  0x0007E590  "Invalid"
  0x0007E598  "%02X%02X"
  0x0007E5A8  "Not Supported"
  0x0007E5B8  "dell "
  0x0007E5C0  "alien"
  0x0007E5D0  "Smbios:: SystemID (0x%X) from smbios type 11."
  0x0007E600  "Smbios:: SystemID (0x%X) from smbios type 208."
  0x0007E630  "Smbios:: OEM SystemID (0x%X) from smbios type 11."
  0x0007E668  "%c%c%.6s%.12s"
  0x0007E678  "/.!$@"
  0x0007E768  "System Management BIOS"
  0x0007E780  "SMBIOS"
  0x0007E788  "Error Handler Log"
  0x0007E7A0  "Diagnostic Log"
  0x0007E7B8  "BIOS Log"
  0x0007E7D8  "Evlog:: Unable to allocate cDiagString"
  0x0007E800  "Evlog:: Attach. Usage=%d"
  0x0007E820  "Evlog:: DiscardIF"
  0x0007E838  "Evlog:: Release. Usage=%d"
  0x0007E858  "Evlog:: IF %d (%s) finished"
  0x0007E878  "Evlog:: Key IF was %d, reset to 0"
  0x0007E8B0  "Evlog:: generic filter type 0x%X against [%d]=0x%X"
  0x0007E8E8  "Evlog:: generic filter numTypes=%d"
  0x0007E910  "Evlog:: Dimm No array"
  0x0007E928  "Evlog:: Dimm bad src(%d->%d) size(%d) handler(%p)"
  0x0007E960  "%s %s %s."
  0x0007E970  "%04X : %s %s %s."
  0x0007E988  "%02X%02X : %s %s %s."
  0x0007E9A0  "Post Complete"
  0x0007E9B0  "Disabling USB"
  0x0007E9C0  "Hardware Error(s)"
  0x0007E9D8  "USB Reset"
  0x0007E9E8  "SMI Update"
  0x0007E9F8  "Battery Test"
  0x0007EA08  "Low POST"
  0x0007EA18  "Enabling NMI"
  0x0007EA28  "PNP Option ROMs"
  0x0007EA38  "Panel Diagnostics"
  0x0007EA50  "HD Diagnostics"
  0x0007EA60  "HD Setup"
  0x0007EA70  "Password Setup"
  0x0007EA80  "Diskette initialization"
  0x0007EA98  "Modules initialization"
  0x0007EAB0  "PCMCIA initialization"
  0x0007EAC8  "PNP initialization"
  0x0007EAE0  "Super IO initialization"
  0x0007EAF8  "APCI initialization"
  0x0007EB10  "RTC initialization"
  0x0007EB28  "A20 setup"
  0x0007EB38  "Memory Test"
  0x0007EB48  "USB initialization"
  0x0007EB60  "Timer 2 Test"
  0x0007EB70  "Memory Size"
  0x0007EB80  "Shutdown Test"
  0x0007EB90  "Timer Tick test"
  0x0007EBA0  "RBU Failed"
  0x0007EBB0  "Initializing RBU"
  0x0007EBC8  "Post Sign On"
  0x0007EBD8  "Get Low Vars"
  0x0007EBF0  "Geyserville"
  0x0007EBFC  "Video"
  0x0007EC08  "Dock status"
  0x0007EC18  "Board ID"
  0x0007EC28  "SMI initialization"
  0x0007EC3C  "IVECT"
  0x0007EC48  "PIC test"
  0x0007EC58  "DMA Ports Test"
  0x0007EC68  "Keyboard Test"
  0x0007EC78  "RAM Parity Test"
  0x0007EC88  "Refresh Test"
  0x0007EC98  "DMA test"
  0x0007ECA8  "Timer test"
  0x0007ECB8  "CMOS test"
  0x0007ECC8  "Starting ATPOST"
  0x0007ECD8  "No DIMM detected"
  0x0007ECF0  "Releasing IRESET"
  0x0007ED18  "Starting Processor"
  0x0007ED30  "BIOS-Diags Interface Error"
  0x0007ED50  "Successful boot"
  0x0007ED60  "Memory SPD - ON_FLASH-ON"
  0x0007ED80  "No Memory - ON-FLASH-FLASH"
  0x0007EDA0  "NIC - ON-OFF-ON"
  0x0007EDB0  "Audio - ON-OFF-OFF"
  0x0007EDC8  "CPU - FLASH-ON-ON"
  0x0007EDE0  "LCD panel - FLASH-ON-FLASH"
  0x0007EE00  "SMI - FLASH-ON-OFF"
  0x0007EE18  "Video - FLASH-FLASH-ON"
  0x0007EE30  "Motherboard - FLASH-FLASH-FLASH"
  0x0007EE50  "Option ROMs - FLASH-FLASH-OFF"
  0x0007EE70  "USB - OFF-ON-FLASH"
  0x0007EE88  "Storage - OFF-ON-OFF"
  0x0007EEA0  "Modem - OFF-FLASH-FLASH"
  0x0007EEB8  "Memory - OFF-FLASH-OFF"
  0x0007EED0  "CPU thermal trip"
  0x0007EEE8  "Cannot access thermal sensor"
  0x0007EF08  "Thermal sensor not responding"
  0x0007EF28  "Open circuit to remote diode"
  0x0007EF48  "System board thermal trip"
  0x0007EF68  "Fan 2 stopped"
  0x0007EF78  "Critical temperature shutdown"
  0x0007EF98  "Fan 1 stopped"
  0x0007EFA8  "Off - EC reset "
  0x0007EFB8  "Off - MRC BIOS off"
  0x0007EFD0  "Off - Thermal power button shutdown"
  0x0007EFF8  "Off - USB charger off"
  0x0007F010  "On - USB charger on"
  0x0007F028  "Off - ASF2 force off"
  0x0007F040  "Off - 4 second power button shutdown"
  0x0007F068  "Off - No S5"
  0x0007F078  "Off - Thermal trip"
  0x0007F090  "Off - Media Direct"
  0x0007F0B8  "Off - No video"
  0x0007F0C8  "Off - Module"
  0x0007F0D8  "Off - Software request"
  0x0007F0F0  "Off - Dock not supported"
  0x0007F110  "Off - Disk password incorrect"
  0x0007F130  "Off - Boot password incorrect"
  0x0007F150  "Off - APM  power management"
  0x0007F170  "Off - ACPI power management"
  0x0007F190  "Off - TPM user response timeout"
  0x0007F1B0  "Off - Memory SPD access error"
  0x0007F1D0  "Off - Memory error"
  0x0007F1E8  "Off - No Memory"
  0x0007F1F8  "Off - System clock"
  0x0007F210  "Off - Video"
  0x0007F220  "Off - CPU"
  0x0007F230  "Off - WiFi Catcher"
  0x0007F248  "Off - Thermal error detected"
  0x0007F268  "Off - Boot Error"
  0x0007F280  "Off - CPU thermal event"
  0x0007F298  "Off - Battery temperature sensor"
  0x0007F2C0  "Off - Battery temperature"
  0x0007F2E0  "Off - Battery voltage"
  0x0007F2F8  "Off - Over voltage protection"
  0x0007F328  "Off - System board power"
  0x0007F348  "Off - No AC or battery power"
  0x0007F368  "Off - Force immediate"
  0x0007F380  "Off - Power button"
  0x0007F398  "Off - Low battery"
  0x0007F3B0  "Off - Battery removed"
  0x0007F3C8  "Off - AC removed"
  0x0007F3E0  "Off - BIOS flash update"
  0x0007F400  "BiosLED"
  0x0007F408  "Progress"
  0x0007F418  "Thermal"
  0x0007F420  "Power"
  0x0007F428  "%02d/%02d/%04d %02d:%02d:%02d"
  0x0007F448  "Power "
  0x0007F450  ", Led "
  0x0007F458  ", Pwr "
  0x0007F460  "Progress "
  0x0007F470  "Thermal "
  0x0007F488  "Unknown log type 0x"
  0x0007F4A0  "Evlog:: CBS, Found zero record - terminate scan"
  0x0007F4D0  "Evlog:: CBS, Get IDX=%d(%s), Record %d, RC=0x%X"
  0x0007F500  "Evlog:: CBS, Idx=%d"
  0x0007F518  "Clear BIOS Logs failed, status = 0x%X"
  0x0007F540  "Evlog:: CBS End Detection, RC=%X"
  0x0007F568  "Evlog:: CBS detection requires diag driver"
  0x0007F598  "Evlog:: CBS SMI support for FN(0x%X), RC=%d"
  0x0007F5C8  "Evlog:: CBS Begin Detection"
  0x0007F5E8  "Evlog:: Diag, Discard buffer (%p)"
  0x0007F610  " PPID="
  0x0007F618  " FRU="
  0x0007F620  " Validate Code : "
  0x0007F638  " Error "
  0x0007F640  "%04X:%04X."
  0x0007F650  " V%04X.%s"
  0x0007F660  " Unknown"
  0x0007F670  " Unreleased"
  0x0007F688  " DellDiag"
  0x0007F698  " MpMemory"
  0x0007F6A8  "Evlog:: Diag, Compatibility bit is 0"
  0x0007F6D0  "Evlog:: Diag, Log size (0x%X) zero or larger than buffer (0x%X)"
  0x0007F710  "Evlog:: Diag, Unsupported version (0x%X)"
  0x0007F740  "Evlog:: Diag, Bytesum (0x%X) not 0"
  0x0007F768  "Evlog:: DDGLOG all"
  0x0007F780  "Evlog:: Diag, Cannot read log - discard data"
  0x0007F7B0  "Evlog:: Diag, Read page %2d, Status=0x%X"
  0x0007F7E0  "Evlog:: Diag, Alloc Log %p, Size=%d"
  0x0007F808  "Evlog:: Diag, No log"
  0x0007F820  "Evlog:: Diag, No new data gpDiagLog=%p Key Size=%d Off=%d"
  0x0007F860  "Evlog:: DDGLOG record"
  0x0007F878  "\nEvlog:: Diag, Process rec Len=0x%X Key.Off=%d"
  0x0007F8A8  "Evlog:: Diag, Key Size=%d Off=%d"
  0x0007F8D0  "Unable to allocate memory for buffer"
  0x0007F8F8  "Unable to write page %d, rc=0x%X"
  0x0007F920  "Evlog:: Diag, Write page %d, Status=0x%X"
  0x0007F950  "Evlog:: Diag End Detection, RC=%X"
  0x0007F978  "Evlog:: Diag detection requires diag driver"
  0x0007F9A8  "Evlog:: Diag, BlkSize=0x%X, PageSize=0x%X"
  0x0007F9D8  "Evlog:: Diag SMI support ReadPage FN(0x%X), RC=%d"
  0x0007FA10  "Evlog:: Diag SMI support GetRsvdBlkSize FN(0x%X), RC=%d"
  0x0007FA48  "Evlog:: Diag Begin Detection"
  0x0007FA68  "Audio Resource Conflict"
  0x0007FA80  "Serial Port 2 Conflict"
  0x0007FA98  "Serial Port 1 Conflict"
  0x0007FAB0  "Parallel Port Conflict"
  0x0007FAC8  "Sec ATA Ctrlr Conflict"
  0x0007FAE0  "Pri ATA Ctrlr Conflict"
  0x0007FAF8  "FDC Resource Conflict"
  0x0007FB10  "NVRAM Data Invalid"
  0x0007FB28  "NVRAM Cleared By Jumper"
  0x0007FB40  "No Primary Boot Device"
  0x0007FB58  "No Primary Input Device"
  0x0007FB70  "No Primary Output Device"
  0x0007FB90  "System Resource Conflict"
  0x0007FBB0  "NVRAM Checksum Error"
  0x0007FBC8  "Static Resource Conflict"
  0x0007FBE8  "PNP Data Checksum"
  0x0007FC00  "PNP Serial ID Checksum"
  0x0007FC18  "PNP DMA Conflict"
  0x0007FC30  "PNP IRQ Conflict"
  0x0007FC48  "PNP I/O Conflict"
  0x0007FC60  "PNP Memory Conflict"
  0x0007FC78  "PCI IRQ Conflict"
  0x0007FC90  "PCI I/O Conflict"
  0x0007FCA8  "PCI Memory Conflict"
  0x0007FCC0  "Second DWORD valid"
  0x0007FCD8  "DDC Monitor Config Change"
  0x0007FCF8  "CMOS Time Not Set"
  0x0007FD10  "Num ATA Drives Reduced"
  0x0007FD28  "Floppy Ctlr Failure"
  0x0007FD40  "Floppy Drive 1 Error"
  0x0007FD58  "Floppy Drive 0 Error"
  0x0007FD70  "Cache Memory Error"
  0x0007FD88  "Memory Decreased in Size"
  0x0007FDA8  "CMOS/Memory Size Differ"
  0x0007FDC0  "Kbd Ctlr Not Functional"
  0x0007FDD8  "Kbd Not Functional"
  0x0007FDF0  "Kbd Locked"
  0x0007FE00  "Mouse/Kbd Swapped"
  0x0007FE18  "CMOS Config Error"
  0x0007FE30  "CMOS Checksum Error"
  0x0007FE48  "CMOS Sys Opts Not Set"
  0x0007FE60  "CMOS Battery Failure"
  0x0007FE78  "Cascade PIC error"
  0x0007FE90  "Master PIC error"
  0x0007FEA8  "Channel 2 Timer error"
  0x0007FEC0  "Evlog:: DMI Discard buffer (%p)"
  0x0007FEE0  "SMBIOS Handle (0x%04X)"
  0x0007FEF8  "Unknown Dimm"
  0x0007FF08  "OEM (0x%08X)"
  0x0007FF18  "Unknown (0x%08X)"
  0x0007FF30  "+2.5V #1 out of range"
  0x0007FF48  "+2.5V #2 out of range"
  0x0007FF60  "+3.3V out of range"
  0x0007FF78  "+5V out of range"
  0x0007FF90  "-5V out of range"
  0x0007FFA8  "+12V out of range"
  0x0007FFC0  "-12V out of range"
  0x0007FFD8  "Sys board temp out of range"
  0x0007FFF8  "CPU 1 temp out of range"
  0x00080010  "CPU 2 temp out of range"
  0x00080028  "CPU 3 temp out of range"
  0x00080040  "CPU 4 temp out of range"
  0x00080058  "Fan 0 out of range"
  0x00080070  "Fan 1 out of range"
  0x00080088  "Fan 2 out of range"
  0x000800A0  "Fan 3 out of range"
  0x000800B8  "Fan 4 out of range"
  0x000800D0  "Fan 5 out of range"
  0x000800E8  "Fan 6 out of range"
  0x00080100  "Fan 7 out of range"
  0x00080118  "Chassis secure switch"
  0x00080130  "OEM event (0x%02X)"
  0x00080148  "Single-bit ECC"
  0x00080158  "Multi-bit ECC"
  0x00080168  "Parity memory error"
  0x00080180  "Bus time-out"
  0x00080190  "I/O channel check"
  0x000801A8  "Software NMI"
  0x000801B8  "POST memory resize"
  0x000801D0  "POST error"
  0x000801E0  "PCI parity error (PERR)"
  0x000801F8  "PCI system error (SERR)"
  0x00080210  "CPU failure"
  0x00080220  "EISA failsafe timer"
  0x00080238  "Correctable memory log disabled"
  0x00080258  "'Event' type logging disabled"
  0x00080278  "System limit exceeded"
  0x00080290  "Watchdog timer caused reset"
  0x000802B0  "System configuration information"
  0x000802D8  "Hard disk information"
  0x000802F0  "System reconfigured"
  0x00080308  "Uncorrectable CPU complex error"
  0x00080328  "Log area reset/cleared"
  0x00080340  "System boot"
  0x00080350  "Illegal event type"
  0x00080368  "Event type (0x%02X) not in Smbios spec"
  0x00080398  "SmbiosHandle"
  0x000803A8  "DWCount"
  0x000803B0  "HandleAndDWCount"
  0x000803C8  "QWPostBitmap"
  0x000803D8  "DWSysMgmtCondition"
  0x000803F0  "DWSysMgmtCondDWCount"
  0x00080408  ", %d times"
  0x00080418  "Var Format NONE"
  0x00080428  "\n  [%02d] %s"
  0x00080438  ", bitmap 0x%08X%08X"
  0x00080450  ", unknown var format (0x%02X)"
  0x00080470  "Var Format 0x%X"
  0x00080480  "Evlog:: DMI Rec %p Type=0x%02X Len=%d"
  0x000804A8  "Log Overflow"
  0x000804B8  "Evlog:: DMI GetNext Buff=%p Len=%d keyOff=%d"
  0x000804E8  "Ver: %d.%d"
  0x000804F8  "Evlog:: DMI End Detection, RC=%X"
  0x00080520  "Evlog:: DMI detection requires diag driver"
  0x00080550  "Evlog:: DMI not supported"
  0x00080570  "Evlog:: DMI not M32 access (found 0x%X)"
  0x00080598  "Evlog:: DMI M32 Bad address, length, fmt or status"
  0x000805D0  "Evlog:: DMI 0xFFFF size - ignored"
  0x000805F8  "Evlog:: DMI NV Hdr meci=%d metw=0x%X min rev=0x%X"
  0x00080630  "Evlog:: DMI Read Mem Phys=%I64X Buff=%p Len=%d"
  0x00080660  "Evlog:: DMI 0x%X bytes allocated at %p"
  0x00080688  "Evlog:: DMI Sm15 LogType 0x%X (%s) VarFormat 0x%X (%s)"
  0x000806C0  "Evlog:: DMI M32, Addr=0x%X Len=0x%X Stat=0x%X Hdr=0x%X Data=0x%X, Fmt=%d"
  0x00080710  "Evlog:: DMI Type15 record %p"
  0x00080730  "Evlog:: DMI Begin Detection"
  0x0008074C  "CFast"
  0x00080758  "MicroSSD"
  0x00080768  "mSATA"
  0x00080770  "<1.8\""
  0x00080790  "5.25\""
  0x00080798  "%04X: %-*s %s\n"
  0x000807A8  "%02X "
  0x000807B0  "%08X "
  0x000807C8  "%I64d %.1sB"
  0x000807D8  "%I64d.%I64d %.1sB"
  0x00081680  "Unable to log to NVRAM"
  0x00081698  "Fatal: The module reported multiple test results!!"
  0x000816D0  "Battery - unable to retrieve battery health"
  0x00081700  "Invalid parameter passed to the device."
  0x00081728  "High-Precision event timer not found."
  0x00081750  "Out of memory! fMalloc() Failed!"
  0x00081778  "Hard Drive - Drive error detected."
  0x000817A0  "Memory - Previous uncorrectable memory error."
  0x000817D0  "Cables - Check the following cable,"
