======================================================================
XREF TRACE: PE_0529.bin
======================================================================

──────────────────────────────────────────────────────────────────────
TARGET: 0x000D4500  "Show Password"
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    local_res8._6_2_ =
  │         (short)(((((int)*(short *)((longlong)param_1 + 0x16) -
  │                   (int)*(short *)((longlong)param_1 + 0x12)) + 1) * 0x27) / 100) +
  │         *(short *)((longlong)param_1 + 0x12);
  │    plVar3 = (longlong *)thunk_FUN_00002888(0xd0);
  │    if (plVar3 == (longlong *)0x0) {
  │      plVar3 = (longlong *)0x0;
  │    }
  │    else {
  │      plVar3 = FUN_00043800(plVar3,&local_res8,"",0xb,0xa948,0x20);
  │    }
  │    param_1[0x15] = (longlong)plVar3;
  │    if (plVar3 != (longlong *)0x0) {
  │      (**(code **)(*plVar3 + 0x38))(plVar3,1,0xe73c); ◄◄◄
  │      *(undefined2 *)(param_1[0x15] + 0x40) = 0x200;
  │      (**(code **)(*(longlong *)param_1[0x15] + 0xd8))((longlong *)param_1[0x15],uVar1); ◄◄◄
  │      (**(code **)(*param_1 + 0x18))(param_1,param_1[0x15],1); ◄◄◄
  │      if (DAT_00101a50 != (longlong *)0x0) {
  │        FUN_0000b574(DAT_00101a50,(longlong *)param_1[0x15]);
  │      }
  │    }
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0xc;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x2a;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x19;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    local_res8._6_2_ =
  │         (short)(((((int)*(short *)((longlong)param_1 + 0x16) -
  │                   (int)*(short *)((longlong)param_1 + 0x12)) + 1) * 0x3e) / 100) +
  │         *(short *)((longlong)param_1 + 0x12);
  │    puVar2 = (undefined8 *)thunk_FUN_00002888(0x1f30);
  │    if (puVar2 == (undefined8 *)0x0) {
  │      plVar3 = (longlong *)0x0;
  │    }
  │    else {
  │      plVar3 = FUN_0000bab0(puVar2,&local_res8,"Security",0,0x2041);
  │    }
  │    param_1[0x1f] = (longlong)plVar3;
  │    if (plVar3 != (longlong *)0x0) {
  │      (**(code **)(*plVar3 + 0x38))(plVar3,0,0xe73c); ◄◄◄
  │      (**(code **)(*(longlong *)param_1[0x1f] + 0xd8))((longlong *)param_1[0x1f],uVar1); ◄◄◄
  │      (**(code **)(*param_1 + 0x18))(param_1,param_1[0x1f],1); ◄◄◄
  │    }
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x1e;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x2b;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x41;
  │    local_res8._6_2_ = *(undefined2 *)((longlong)param_1 + 0x16);
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    puVar2 = (undefined8 *)thunk_FUN_00002888(0xa8);
  │    if (puVar2 == (undefined8 *)0x0) {
  │      puVar2 = (undefined8 *)0x0;
  │    }
  │    else {
  │      FUN_0001bf30(puVar2,&local_res8,0x19,0x4041);
  │      *(undefined1 *)(puVar2 + 7) = 0xa4;
  │      *(undefined2 *)((longlong)puVar2 + 0xc) = 0xad75;
  │      *puVar2 = &PTR_FUN_000d3fb0;
  │    }
  │    param_1[0x1c] = (longlong)puVar2;
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x1e;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x2b;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x41;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    local_res8._6_2_ =
  │         (short)(((((int)*(short *)((longlong)param_1 + 0x16) -
  │                   (int)*(short *)((longlong)param_1 + 0x12)) + 1) * 0x3a) / 100) +
  │         *(short *)((longlong)param_1 + 0x12);
  │    if (puVar2 != (undefined8 *)0x0) {
  │      plVar3 = (longlong *)thunk_FUN_00002888(0xc0);
  │      if (plVar3 == (longlong *)0x0) {
  │        plVar3 = (longlong *)0x0;
  │      }
  │      else {
  │        plVar3 = FUN_00044784(plVar3,&local_res8,"--Select--",0,6,0xc040,1);
  │      }
  │      (**(code **)(*(longlong *)param_1[0x1c] + 0x20))((longlong *)param_1[0x1c],plVar3,1); ◄◄◄
  │      plVar3 = (longlong *)thunk_FUN_00002888(0xc0);
  │      if (plVar3 == (longlong *)0x0) {
  │        plVar3 = (longlong *)0x0;
  │      }
  │      else {
  │        plVar3 = FUN_00044784(plVar3,&local_res8,"Open",0,1,0xc040,1);
  │      }
  │      (**(code **)(*(longlong *)param_1[0x1c] + 0x20))((longlong *)param_1[0x1c],plVar3,1); ◄◄◄
  │      plVar3 = (longlong *)thunk_FUN_00002888(0xc0);
  │      if (plVar3 == (longlong *)0x0) {
  │        plVar3 = (longlong *)0x0;
  │      }
  │      else {
  │        plVar3 = FUN_00044784(plVar3,&local_res8,"Secured",0,5,0xc040,1);
  │      }
  │      (**(code **)(*(longlong *)param_1[0x1c] + 0x20))((longlong *)param_1[0x1c],plVar3,1); ◄◄◄
  │      FUN_0001bcc0(param_1[0x1c]);
  │    }
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0xc;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x3f;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x1b;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    local_res8._6_2_ =
  │         (short)(((((int)*(short *)((longlong)param_1 + 0x16) -
  │                   (int)*(short *)((longlong)param_1 + 0x12)) + 1) * 0x53) / 100) +
  │         *(short *)((longlong)param_1 + 0x12);
  │    puVar2 = (undefined8 *)thunk_FUN_00002888(0x1f30);
  │    if (puVar2 == (undefined8 *)0x0) {
  │      plVar3 = (longlong *)0x0;
  │    }
  │    else {
  │      plVar3 = FUN_0000bab0(puVar2,&local_res8,"Password",0,0x2041); ◄◄◄
  │    }
  │    param_1[0x20] = (longlong)plVar3;
  │    if (plVar3 != (longlong *)0x0) {
  │      (**(code **)(*plVar3 + 0x38))(plVar3,0,0xe73c); ◄◄◄
  │      (**(code **)(*(longlong *)param_1[0x20] + 0xd8))((longlong *)param_1[0x20],uVar1); ◄◄◄
  │      (**(code **)(*param_1 + 0x18))(param_1,param_1[0x20],1); ◄◄◄
  │    }
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x1e;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x3d;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x41;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    local_res8._6_2_ =
  │         (short)(((((int)*(short *)((longlong)param_1 + 0x16) -
  │                   (int)*(short *)((longlong)param_1 + 0x12)) + 1) * 0x4f) / 100) +
  │         *(short *)((longlong)param_1 + 0x12);
  │    plVar3 = (longlong *)thunk_FUN_00002888(0xd8);
  │    if (plVar3 == (longlong *)0x0) {
  │      plVar3 = (longlong *)0x0;
  │    }
  │    else {
  │      plVar3 = FUN_00043ccc(plVar3,&local_res8,"",0xb,0xad88,0x40);
  │    }
  │    param_1[0x16] = (longlong)plVar3;
  │    if (plVar3 != (longlong *)0x0) {
  │      (**(code **)(*plVar3 + 0x38))(plVar3,1,0x81df); ◄◄◄
  │      *(undefined2 *)(param_1[0x16] + 0x40) = 0x200;
  │      (**(code **)(*(longlong *)param_1[0x16] + 0xd8))((longlong *)param_1[0x16],uVar1); ◄◄◄
  │      (**(code **)(*param_1 + 0x18))(param_1,param_1[0x16],1); ◄◄◄
  │    }
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x1e;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x52;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x3e;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x5e;
  │    local_res8._6_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + *(short *)((longlong)param_1 + 0x12);
  │    plVar3 = (longlong *)thunk_FUN_00002888(0xa8);
  │    if (plVar3 == (longlong *)0x0) {
  │      plVar3 = (longlong *)0x0;
  │    }
  │    else {
  │      FUN_00005c68(plVar3,&local_res8,"Show Password",0xd,0x8048); ◄◄◄
  │      *plVar3 = (longlong)&PTR_FUN_000d3d70;
  │    }
  │    param_1[0x1a] = (longlong)plVar3;
  │    if (plVar3 != (longlong *)0x0) {
  │      (**(code **)(*plVar3 + 0xd8))(plVar3,uVar1); ◄◄◄
  │      *(undefined2 *)(param_1[0x1a] + 8) = 0xe73c;
  │      *(undefined2 *)(param_1[0x1a] + 10) = 0xe73c;
  │      *(undefined2 *)(param_1[0x1a] + 0xc) = 0x4208;
  │      (**(code **)(*param_1 + 0x18))(param_1,param_1[0x1a],1); ◄◄◄
  │    }
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x48;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x23;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x5c;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x41;
  │    local_res8._6_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + *(short *)((longlong)param_1 + 0x12);
  │    plVar3 = (longlong *)thunk_FUN_00002888(0x7aa0);
  │    if (plVar3 == (longlong *)0x0) {
  │      plVar3 = (longlong *)0x0;
  │    }
  │    else {
  │      FUN_00018780(plVar3,&local_res8,"Connect",0x3f7,0x8000,0,1);
  │      *plVar3 = (longlong)&PTR_FUN_000d3c60;
  │    }
  │    param_1[0x1b] = (longlong)plVar3;
  │    if (plVar3 != (longlong *)0x0) {
  │      (**(code **)(*plVar3 + 0x108))(plVar3); ◄◄◄
  │      (**(code **)(*(longlong *)param_1[0x1b] + 0xd8))((longlong *)param_1[0x1b],uVar1); ◄◄◄
  │      (**(code **)(*(longlong *)param_1[0x1b] + 0x70))((longlong *)param_1[0x1b],0x404); ◄◄◄
  │      *(undefined4 *)(param_1[0x1b] + 0x78) = 2;
  │      (**(code **)(*param_1 + 0x18))(param_1,param_1[0x1b],1); ◄◄◄
  │    }
  │    param_1[0x18] = (longlong)param_1 + 0x159;
  │    param_1[0x19] = (longlong)param_1 + 0x17a;
  │    param_1[0x17] = (longlong)param_1 + 0x17b;
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x4a;
  │    local_res8._0_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + (short)param_1[2];
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x28;
  │    iVar5 = (((int)*(short *)((longlong)param_1 + 0x14) - (int)(short)param_1[2]) + 1) * 0x5d;
  │    local_res8._2_4_ =
  │         CONCAT22((((short)(iVar5 / 100) + (short)(iVar5 >> 0x1f)) -
  │                  (short)((longlong)iVar5 * 0x51eb851f >> 0x3f)) + (short)param_1[2],
  │                  (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │                  (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) +
  │                  *(short *)((longlong)param_1 + 0x12));
  │    iVar4 = (((int)*(short *)((longlong)param_1 + 0x16) - (int)*(short *)((longlong)param_1 + 0x12)) +
  │            1) * 0x3c;
  │    local_res8._6_2_ =
  │         (((short)(iVar4 / 100) + (short)(iVar4 >> 0x1f)) -
  │         (short)((longlong)iVar4 * 0x51eb851f >> 0x3f)) + *(short *)((longlong)param_1 + 0x12);
  │    puVar2 = (undefined8 *)thunk_FUN_00002888(0x1f30);
  │    if (puVar2 == (undefined8 *)0x0) {
  │      plVar3 = (longlong *)0x0;
  │    }
  │    else {
  │      plVar3 = FUN_0000bab0(puVar2,&local_res8,"Connecting...",0,0x2041);
  │    }
  │    param_1[0x22] = (longlong)plVar3;
  │    if (plVar3 != (longlong *)0x0) {
  │      (**(code **)(*plVar3 + 0xd8))(plVar3,uVar1); ◄◄◄
  │      (**(code **)(*(longlong *)param_1[0x22] + 0x38))((longlong *)param_1[0x22],0,0xe73c); ◄◄◄
  │      (**(code **)(*(longlong *)param_1[0x22] + 0x70))((longlong *)param_1[0x22],0x404); ◄◄◄
  │    }
  │    return;
  │  }
  └────────────────────────────────────────────────────────────
    ┌─ 0x0000BAB0  FUN_0000bab0  (5 params)
    │  
    │  undefined8 *
    │  FUN_0000bab0(undefined8 *param_1,undefined8 *param_2,char *param_3,undefined2 param_4,ushort param_5
    │              )
    │  
    │  {
    │    FUN_00010bb4(param_1,param_2,param_4,param_5,param_3,6);
    │    *param_1 = &PTR_FUN_00079340;
    │    FUN_0001ae14((longlong)(param_1 + 0x17));
    │    *(undefined1 *)(param_1 + 7) = 0x11;
    │    FUN_00011858((longlong)param_1);
    │    *(undefined2 *)(param_1 + 0x15) = 0;
    │    param_1[0x16] = 0;
    │    *(undefined4 *)(param_1 + 0x3e5) = 0;
    │    if ((param_5 & 0x8000) == 0) {
    │      *(ushort *)((longlong)param_1 + 0x3e) = *(ushort *)((longlong)param_1 + 0x3e) & 0xffbb;
    │    }
    │    else {
    │      *(ushort *)((longlong)param_1 + 0x3e) = *(ushort *)((longlong)param_1 + 0x3e) | 0x400;
    │      *(undefined2 *)(param_1 + 8) = 2;
    │    }
    │    *(undefined2 *)((longlong)param_1 + 0xc) = 0x3186;
    │    *(undefined2 *)((longlong)param_1 + 0xe) = 0xffff;
    │    *(undefined2 *)((longlong)param_1 + 10) = 0x81df;
    │    *(undefined2 *)(param_1 + 1) = DAT_000e6f68;
    │    return param_1;
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x00004484  FUN_00004484  (2 params)
    │  
    │  void FUN_00004484(longlong param_1,ushort param_2)
    │  
    │  {
    │    *(ushort *)(param_1 + 0x3e) = *(ushort *)(param_1 + 0x3e) & ~param_2;
    │    return;
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x00044784  FUN_00044784  (7 params)
    │  
    │  longlong *
    │  FUN_00044784(longlong *param_1,undefined8 *param_2,char *param_3,longlong param_4,undefined2 param_5
    │              ,ushort param_6,undefined4 param_7)
    │  
    │  {
    │    undefined8 uVar1;
    │    
    │    FUN_000053f0(param_1,param_2,param_5,param_6,param_3,3);
    │    *(undefined4 *)(param_1 + 0x15) = 0;
    │    *(undefined4 *)(param_1 + 0x17) = param_7;
    │    param_1[0x16] = param_4;
    │    *param_1 = (longlong)&PTR_FUN_000d42f0;
    │    uVar1 = DAT_00105330;
    │    *(undefined1 *)(param_1 + 7) = 0x1d;
    │    *(undefined2 *)((longlong)param_1 + 0xc) = 0xad75;
    │    FUN_00010b44((longlong)param_1,uVar1);
    │    return param_1;
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x00010B44  FUN_00010b44  (2 params)
    │  
    │  void FUN_00010b44(longlong param_1,undefined8 param_2)
    │  
    │  {
    │    *(undefined8 *)(param_1 + 0x88) = param_2;
    │    if ((*(byte *)(param_1 + 0x3e) & 1) != 0) {
    │      FUN_0000c58c(DAT_00101a58,(short *)(param_1 + 0x18));
    │    }
    │    return;
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x000436E4  FUN_000436e4  (1 params)
    │  
    │  void FUN_000436e4(longlong *param_1)
    │  
    │  {
    │    (**(code **)(*param_1 + 0x70))(param_1,0x404); ◄◄◄
    │    (**(code **)(*param_1 + 0x38))(param_1,2,0x6b6d); ◄◄◄
    │    (**(code **)(*param_1 + 0x38))(param_1,0,0xce79); ◄◄◄
    │    FUN_0000c58c(DAT_00101a58,(short *)(param_1 + 3));
    │                      /* WARNING: Could not recover jumptable at 0x00043737. Too many branches */
    │                      /* WARNING: Treating indirect jump as call */
    │    (**(code **)(*param_1 + 0x10))(param_1); ◄◄◄
    │    return;
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x00005C68  FUN_00005c68  (5 params)
    │  
    │  longlong *
    │  FUN_00005c68(longlong *param_1,undefined8 *param_2,char *param_3,undefined2 param_4,ushort param_5)
    │  
    │  {
    │    FUN_000053f0(param_1,param_2,param_4,param_5,param_3,5);
    │    *(undefined2 *)(param_1 + 8) = 0x300;
    │    *(undefined1 *)(param_1 + 7) = 0xf;
    │    *param_1 = (longlong)&PTR_FUN_000783a0;
    │    return param_1;
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x0000286C  thunk_FUN_00002888  (1 params)
    │  
    │  undefined1 * thunk_FUN_00002888(uint param_1)
    │  
    │  {
    │    undefined1 *apuStackX_10 [3];
    │    
    │    apuStackX_10[0] = (undefined1 *)0x0;
    │    (**(code **)(DAT_00101ac0 + 0x40))(4,param_1,apuStackX_10); ◄◄◄
    │    if (apuStackX_10[0] != (undefined1 *)0x0) {
    │      FUN_0000045c(apuStackX_10[0],0,(ulonglong)param_1);
    │    }
    │    return apuStackX_10[0];
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x0001BBB8  FUN_0001bbb8  (3 params)
    │  
    │  void FUN_0001bbb8(longlong *param_1,undefined8 param_2,int param_3)
    │  
    │  {
    │    (**(code **)(*(longlong *)param_1[0x10] + 0x20))(); ◄◄◄
    │    if ((*(byte *)((longlong)param_1 + 0x3e) & 1) != 0) {
    │      (**(code **)(*(longlong *)param_1[0x10] + 400))(); ◄◄◄
    │      if (param_3 != 0) {
    │        (**(code **)(*param_1 + 0x10))(param_1); ◄◄◄
    │      }
    │    }
    │    FUN_0001ba2c(param_1);
    │    return;
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x00043800  FUN_00043800  (6 params)
    │  
    │  longlong *
    │  FUN_00043800(longlong *param_1,longlong *param_2,char *param_3,undefined2 param_4,ushort param_5,
    │              undefined4 param_6)
    │  
    │  {
    │    FUN_00007274(param_1,param_2,param_3,param_4,param_5,param_6);
    │    *param_1 = (longlong)&PTR_FUN_000d3e80;
    │    if ((0 < ((int)*(short *)((longlong)param_2 + 6) - (int)*(short *)((longlong)param_2 + 2)) + 1) &&
    │       (0 < ((int)*(short *)((longlong)param_2 + 4) - (int)(short)*param_2) + 1)) {
    │      param_1[2] = *param_2;
    │    }
    │    return param_1;
    │  }
    └────────────────────────────────────────────────────────────
    ┌─ 0x0000B574  FUN_0000b574  (2 params)
    │  
    │  void FUN_0000b574(longlong *param_1,longlong *param_2)
    │  
    │  {
    │    ushort uVar1;
    │    undefined8 uVar2;
    │    longlong *plVar3;
    │    longlong *plVar4;
    │    longlong *plVar5;
    │    int iVar6;
    │    longlong *plVar7;
    │    uint uVar8;
    │    longlong *plVar10;
    │    longlong local_res10;
    │    undefined8 local_res18;
    │    longlong *plVar9;
    │    
    │    if ((*(byte *)((longlong)param_2 + 0x3e) & 1) == 0) {
    │      return;
    │    }
    │    if ((*(byte *)((longlong)param_2 + 0x3e) & 0x40) == 0) {
    │      return;
    │    }
    │    plVar5 = (longlong *)param_1[0x7c1];
